Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;328;11;0;901;"=""6152.8""";high
1;211;ATL;0;623;"=""1487.1""";high
2;369;11;19;929;"=""20345.1""";high
3;12;10L;0;30;"=""65.9""";high
4;1;н/д;0;0;"=""4.6""";н/д
5;530;LAX;0;1458;"=""6614.7""";high
6;45;PHNL;0;107;"=""223.0""";high
7;164;SEA;0;476;"=""946.8""";high
8;50;SBA;0;105;"=""289.8""";high
9;103;LAX;0;259;"=""2318.7""";high
10;14;10L;0;34;"=""88.3""";high
11;1;н/д;0;0;"=""2.7""";н/д
12;3;10L;1;10;"=""24.6""";high
13;1;н/д;0;0;"=""3.8""";н/д
14;2;28L;1;3;"=""7.6""";high
15;3;09L;1;5;"=""16.9""";high
16;1;30L;0;0;"=""2.6""";н/д
17;1;н/д;0;0;"=""6.5""";н/д
18;1;н/д;0;0;"=""4.0""";н/д
19;1;13;0;0;"=""3.9""";н/д
20;1;н/д;0;0;"=""4.0""";н/д
21;4;н/д;0;8;"=""15.8""";high
22;1;30L;0;0;"=""3.9""";н/д
23;1;н/д;0;0;"=""4.3""";н/д
24;1;н/д;0;0;"=""3.9""";н/д
25;1;н/д;0;0;"=""4.7""";н/д
26;1;н/д;0;0;"=""4.7""";н/д
27;1;н/д;0;0;"=""6.2""";н/д
28;1;н/д;0;0;"=""2.7""";н/д
29;1;н/д;0;0;"=""4.6""";н/д
30;2;н/д;1;1;"=""5.2""";high
31;1;н/д;0;0;"=""2.9""";н/д
32;1;н/д;0;0;"=""4.8""";н/д
33;23;13;0;43;"=""85.8""";high
34;1;н/д;0;0;"=""6.4""";н/д
35;1;12R;0;0;"=""4.8""";н/д
36;2;н/д;1;7;"=""12.0""";high
37;1;н/д;0;0;"=""4.8""";н/д
38;1;н/д;0;0;"=""2.8""";н/д
39;1;н/д;0;0;"=""6.4""";н/д
40;1;н/д;0;0;"=""6.4""";н/д
41;1;н/д;0;0;"=""6.5""";н/д
42;1;н/д;0;0;"=""4.8""";н/д
43;1;н/д;0;0;"=""6.4""";н/д
44;1;н/д;0;0;"=""4.8""";н/д
45;1;н/д;0;0;"=""4.8""";н/д
46;1;н/д;0;0;"=""3.9""";н/д
47;1;н/д;0;0;"=""2.9""";н/д
48;1;н/д;0;0;"=""4.6""";н/д
49;1;н/д;0;0;"=""4.8""";н/д
50;1;н/д;0;0;"=""6.1""";н/д
51;1;н/д;0;0;"=""3.9""";н/д
52;1;н/д;0;0;"=""4.8""";н/д
53;1;н/д;0;0;"=""6.1""";н/д
54;1;н/д;0;0;"=""4.8""";н/д
55;1;н/д;0;0;"=""5.0""";н/д
56;1;12R;0;0;"=""4.8""";н/д
57;1;н/д;0;0;"=""6.3""";н/д
58;1;30L;0;0;"=""3.2""";н/д
59;1;12R;0;0;"=""4.8""";н/д
60;2;н/д;1;3;"=""6.2""";high
61;1;н/д;0;0;"=""6.4""";н/д
62;1;н/д;0;0;"=""6.5""";н/д
63;1;н/д;0;0;"=""2.9""";н/д
64;1;30L;0;0;"=""5.6""";н/д
65;1;н/д;0;0;"=""6.0""";н/д
66;1;12L;0;0;"=""6.0""";н/д
67;1;н/д;0;0;"=""5.0""";н/д
68;1;12L;0;0;"=""4.6""";н/д
69;1;н/д;0;0;"=""4.8""";н/д
70;1;11;0;0;"=""6.8""";н/д
71;1;н/д;0;0;"=""5.0""";н/д
72;1;н/д;0;0;"=""6.8""";н/д
73;3;LIT;1;6;"=""10.7""";high
74;1;11;0;0;"=""7.8""";н/д
75;1;н/д;0;0;"=""4.0""";н/д
76;1;н/д;0;0;"=""6.3""";н/д
77;3;н/д;1;4;"=""7.9""";high
78;1;н/д;0;0;"=""6.5""";н/д
79;1;н/д;0;0;"=""4.8""";н/д
80;1;н/д;0;0;"=""2.7""";н/д
81;27;ORD;2;73;"=""141.7""";high
82;11;MRY;0;27;"=""83.1""";high
83;15;11;1;34;"=""150.3""";high
84;1;н/д;0;0;"=""3.9""";н/д
85;1;н/д;0;0;"=""4.9""";н/д
86;3;12;1;5;"=""9.2""";high
87;2;н/д;1;3;"=""5.7""";high
88;1;н/д;0;0;"=""4.1""";н/д
89;1;н/д;0;0;"=""2.5""";н/д
90;1;н/д;0;0;"=""4.1""";н/д
91;1;н/д;0;0;"=""4.9""";н/д
92;1;н/д;0;0;"=""2.7""";н/д
93;1;н/д;0;0;"=""3.9""";н/д
94;10;11;0;30;"=""53.7""";high
95;2;SMF;1;4;"=""16.5""";high
96;8;PHX;0;22;"=""164.9""";high
97;2;н/д;1;3;"=""5.5""";high
98;1;н/д;0;0;"=""4.7""";н/д
99;5;10R;1;13;"=""17.8""";high
100;3;12L;1;4;"=""14.6""";high
101;1;н/д;0;0;"=""4.1""";н/д
102;8;12R;0;24;"=""36.4""";high
103;1;н/д;0;0;"=""3.8""";н/д
104;1;н/д;0;0;"=""3.0""";н/д
