Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;322;11;0;886;6065.6;high
1;177;ATL;0;516;1156.7;high
2;372;11;0;939;20639.9;high
3;529;LAX;0;1459;6440.0;high
4;40;PHNL;0;95;209.3;high
5;229;SEA;0;650;2818.9;high
6;13;SEA;1;34;210.4;high
7;12;MRY;0;31;73.5;high
8;12;LAX;0;28;58.4;high
9;1;н/д;0;0;2.6;н/д
10;4;10R;0;10;24.6;high
11;5;SBP;1;15;37.5;high
12;4;н/д;0;8;11.0;high
13;1;н/д;0;0;3.9;н/д
14;2;CDG;1;6;15.1;high
15;1;30L;0;0;2.6;н/д
16;1;н/д;0;0;3.0;н/д
17;1;н/д;0;0;4.8;н/д
18;1;13;0;0;5.6;н/д
19;3;09L;1;7;19.3;high
20;1;30L;0;0;3.2;н/д
21;1;н/д;0;0;4.0;н/д
22;1;н/д;0;0;3.9;н/д
23;3;10L;1;10;23.4;high
24;7;LAX;0;15;28.1;high
25;44;10L;0;128;211.7;high
26;3;SBP;1;6;18.3;high
27;1;н/д;0;0;2.8;н/д
28;1;н/д;0;0;5.0;н/д
29;1;30L;0;0;5.6;н/д
30;33;SBA;0;67;181.3;high
31;3;09R;1;6;12.3;high
32;1;н/д;0;0;2.7;н/д
33;9;30L;1;16;44.5;high
34;1;н/д;0;0;2.9;н/д
35;1;н/д;0;0;6.3;н/д
36;1;н/д;0;0;3.9;н/д
37;1;13;0;0;3.9;н/д
38;1;н/д;0;0;4.0;н/д
39;1;н/д;0;0;4.9;н/д
40;1;н/д;0;0;2.5;н/д
41;1;н/д;0;0;4.1;н/д
42;1;н/д;0;0;4.9;н/д
43;1;н/д;0;0;4.1;н/д
44;15;13;1;28;57.5;high
45;14;н/д;0;27;49.0;high
46;3;PHNL;1;5;12.5;high
47;1;н/д;0;0;2.7;н/д
48;1;SNA;0;0;8.1;н/д
49;1;YYZ;0;0;8.2;н/д
50;7;н/д;1;20;39.1;high
51;52;SAN;0;123;977.7;high
52;9;10R;1;17;30.3;high
53;13;09R;1;36;63.3;high
54;58;12R;0;171;260.5;high
55;16;MIA;0;34;85.7;high
56;6;12L;0;11;19.9;high
57;1;н/д;0;0;3.0;н/д
58;1;н/д;0;0;3.0;н/д
59;1;н/д;0;0;3.1;н/д
60;1;н/д;0;0;2.9;н/д
61;1;н/д;0;0;4.4;н/д
62;1;н/д;0;0;2.7;н/д
63;1;н/д;0;0;2.9;н/д
64;1;н/д;0;0;4.0;н/д
65;1;н/д;0;0;3.9;н/д
66;1;н/д;0;0;2.6;н/д
67;1;н/д;0;0;2.8;н/д
68;1;н/д;0;0;2.8;н/д
69;1;н/д;0;0;3.0;н/д
70;1;н/д;0;0;3.8;н/д
71;1;н/д;0;0;3.9;н/д
72;1;н/д;0;0;3.8;н/д
73;3;н/д;1;3;7.2;high
74;1;н/д;0;0;2.8;н/д
75;1;н/д;0;0;4.0;н/д
76;1;н/д;0;0;2.7;н/д
77;1;н/д;0;0;2.9;н/д
78;1;н/д;0;0;2.7;н/д
79;1;н/д;0;0;4.7;н/д
80;1;н/д;0;0;4.1;н/д
81;1;н/д;0;0;4.0;н/д
82;1;н/д;0;0;3.9;н/д
83;1;н/д;0;0;3.8;н/д
84;1;н/д;0;0;4.0;н/д
85;1;н/д;0;0;4.2;н/д
86;1;н/д;0;0;6.7;н/д
87;4;н/д;0;5;10.2;high
88;2;н/д;1;5;5.4;high
89;1;н/д;0;0;4.0;н/д
90;5;н/д;0;5;13.5;high
91;1;н/д;0;0;4.8;н/д
92;1;н/д;0;0;5.0;н/д
93;1;н/д;0;0;4.1;н/д
94;1;н/д;0;0;2.6;н/д
95;1;н/д;0;0;5.0;н/д
96;1;н/д;0;0;3.9;н/д
97;1;н/д;0;0;4.6;н/д
98;1;н/д;0;0;2.7;н/д
99;2;н/д;1;4;8.7;high
100;1;н/д;0;0;4.4;н/д
101;1;н/д;0;0;6.4;н/д
102;1;н/д;0;0;4.1;н/д
103;1;н/д;0;0;4.0;н/д
104;1;н/д;0;0;2.9;н/д
105;1;н/д;0;0;3.8;н/д
106;1;н/д;0;0;2.7;н/д
107;2;н/д;1;3;8.1;high
108;1;н/д;0;0;2.9;н/д
109;1;н/д;0;0;2.9;н/д
110;1;SMF;0;0;8.6;н/д
111;2;12L;1;4;9.0;high
112;1;н/д;0;0;2.7;н/д
113;1;н/д;0;0;3.9;н/д
114;1;н/д;0;0;3.9;н/д
115;1;н/д;0;0;4.0;н/д
116;1;н/д;0;0;5.2;н/д
117;1;н/д;0;0;4.1;н/д
118;1;н/д;0;0;4.1;н/д
119;1;н/д;0;0;3.8;н/д
120;1;н/д;0;0;5.6;н/д
121;1;н/д;0;0;4.0;н/д
122;1;н/д;0;0;3.5;н/д
123;1;н/д;0;0;6.2;н/д
124;1;н/д;0;0;4.3;н/д
125;1;н/д;0;0;3.9;н/д
