Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;326;11;0;896;"=""6180.0""";high
1;342;11;0;859;"=""16889.6""";high
2;504;LAX;0;1388;"=""5724.0""";high
3;309;SEA;0;929;"=""2517.0""";high
4;52;LAX;3;124;"=""541.5""";high
5;81;SEA;0;229;"=""863.7""";high
6;56;LAX;3;129;"=""1134.1""";high
8;34;RNO;0;80;"=""194.1""";high
9;11;MSP;1;22;"=""75.9""";high
10;47;PHNL;0;104;"=""218.8""";high
11;5;YYC;0;10;"=""28.2""";high
13;3;MOD;1;7;"=""19.5""";high
16;8;ORD;0;24;"=""51.9""";high
18;2;30L;1;2;"=""4.2""";high
40;2;IAD;1;4;"=""11.8""";high
45;25;JFK;0;70;"=""634.0""";high
46;11;LAX;1;29;"=""76.9""";high
47;3;13;1;8;"=""11.6""";high
48;10;13;0;23;"=""46.9""";high
49;2;12R;1;5;"=""10.7""";high
50;18;SBA;1;31;"=""84.8""";high
52;2;30L;1;3;"=""7.8""";high
98;3;11;1;10;"=""16.6""";high
104;2;10L;1;4;"=""15.7""";high
126;6;11;0;12;"=""112.4""";high
127;7;11;1;21;"=""31.5""";high
142;7;SMF;0;11;"=""24.7""";high
146;2;LAX;1;4;"=""9.3""";high
152;4;BFL;0;10;"=""72.0""";high
154;6;09R;0;14;"=""29.0""";high
158;3;12L;1;7;"=""13.4""";high
189;4;JFK;0;9;"=""26.5""";high
193;2;FAT;1;6;"=""21.0""";high
