Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;502;LAX;0;1375;"=""5618.8""";high
1;343;11;0;860;"=""16362.6""";high
2;52;PDX;0;132;"=""697.9""";high
3;285;11;0;768;"=""5711.5""";high
4;294;SEA;0;877;"=""2392.9""";high
5;76;BOS;0;231;"=""457.2""";high
6;49;SBA;0;110;"=""256.0""";high
7;8;SMF;0;18;"=""40.0""";high
8;138;LAX;0;366;"=""3022.4""";high
9;12;10L;0;26;"=""71.4""";high
10;10;19R;0;21;"=""62.6""";high
12;2;RDD;1;7;"=""21.6""";high
29;2;12;1;5;"=""6.3""";high
34;6;RJAA;0;16;"=""94.8""";high
57;3;STL;1;7;"=""28.6""";high
73;9;MOD;1;18;"=""50.5""";high
74;12;13;0;23;"=""38.9""";high
76;4;12R;0;6;"=""14.1""";high
80;10;12R;0;30;"=""39.8""";high
81;17;JFK;1;46;"=""248.0""";high
82;19;11;1;44;"=""91.3""";high
83;2;ORD;1;5;"=""13.9""";high
86;6;12L;0;6;"=""12.9""";high
106;4;MRY;0;10;"=""24.3""";high
107;5;MIA;1;13;"=""48.7""";high
111;6;PHNL;0;11;"=""19.3""";high
120;2;19L;1;5;"=""12.2""";high
143;4;10L;0;8;"=""35.9""";high
144;2;12R;1;5;"=""10.7""";high
146;3;11;1;10;"=""15.1""";high
154;3;MRY;1;6;"=""19.6""";high
166;3;11;1;6;"=""20.7""";high
177;4;MOD;0;10;"=""25.4""";high
