Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;311;11;16;850;"=""5924.3""";high
1;373;11;19;940;"=""20649.9""";high
2;14;12;1;36;"=""72.9""";high
3;520;LAX;26;1430;"=""6117.9""";high
4;301;SEA;15;905;"=""2416.0""";high
5;58;SBA;3;120;"=""289.8""";high
6;27;PHNL;2;57;"=""122.9""";high
7;9;30L;1;16;"=""44.5""";high
8;20;PHLI;1;48;"=""90.8""";high
9;1;н/д;0;0;"=""2.7""";н/д
10;1;10R;0;0;"=""7.7""";н/д
11;2;н/д;1;5;"=""11.4""";high
12;73;BOS;4;221;"=""563.2""";high
13;2;PHNL;1;6;"=""9.5""";high
14;118;LAX;6;297;"=""3008.0""";high
15;1;н/д;0;0;"=""3.6""";н/д
16;16;RNO;1;43;"=""162.5""";high
17;1;н/д;0;0;"=""4.0""";н/д
18;5;10R;1;8;"=""19.6""";high
19;1;н/д;0;0;"=""3.8""";н/д
20;4;09R;1;14;"=""26.4""";high
21;1;н/д;0;0;"=""6.5""";н/д
22;5;н/д;1;9;"=""16.9""";high
23;1;н/д;0;0;"=""4.0""";н/д
24;1;12R;0;0;"=""3.8""";н/д
25;1;12;0;0;"=""5.3""";н/д
26;1;н/д;0;0;"=""3.9""";н/д
27;1;н/д;0;0;"=""4.8""";н/д
28;1;30L;0;0;"=""2.6""";н/д
29;1;13;0;0;"=""3.9""";н/д
30;1;н/д;0;0;"=""4.3""";н/д
31;1;н/д;0;0;"=""4.8""";н/д
32;1;н/д;0;0;"=""2.7""";н/д
33;1;н/д;0;0;"=""4.6""";н/д
34;3;н/д;1;6;"=""12.7""";high
35;1;н/д;0;0;"=""6.4""";н/д
36;1;н/д;0;0;"=""4.7""";н/д
37;1;н/д;0;0;"=""2.9""";н/д
38;1;н/д;0;0;"=""5.8""";н/д
39;1;н/д;0;0;"=""6.4""";н/д
40;1;н/д;0;0;"=""4.8""";н/д
41;1;12R;0;0;"=""4.8""";н/д
42;1;н/д;0;0;"=""4.8""";н/д
43;1;н/д;0;0;"=""2.8""";н/д
44;1;н/д;0;0;"=""3.9""";н/д
45;1;11;0;0;"=""6.3""";н/д
46;14;12L;1;28;"=""46.6""";high
47;1;н/д;0;0;"=""2.6""";н/д
48;1;н/д;0;0;"=""2.9""";н/д
49;1;н/д;0;0;"=""3.8""";н/д
50;1;н/д;0;0;"=""5.0""";н/д
51;1;н/д;0;0;"=""5.0""";н/д
52;1;н/д;0;0;"=""4.8""";н/д
53;1;н/д;0;0;"=""3.0""";н/д
54;1;н/д;0;0;"=""2.9""";н/д
55;1;н/д;0;0;"=""6.5""";н/д
56;1;н/д;0;0;"=""6.4""";н/д
57;1;н/д;0;0;"=""6.4""";н/д
58;1;н/д;0;0;"=""4.8""";н/д
59;1;н/д;0;0;"=""4.0""";н/д
60;1;н/д;0;0;"=""4.8""";н/д
61;26;11;2;65;"=""127.1""";high
62;5;10L;1;11;"=""37.2""";high
63;1;н/д;0;0;"=""6.4""";н/д
64;1;н/д;0;0;"=""2.7""";н/д
65;1;н/д;0;0;"=""4.7""";н/д
66;1;н/д;0;0;"=""6.3""";н/д
67;1;н/д;0;0;"=""3.9""";н/д
68;1;н/д;0;0;"=""3.9""";н/д
69;1;н/д;0;0;"=""4.8""";н/д
70;1;н/д;0;0;"=""4.1""";н/д
71;1;н/д;0;0;"=""6.1""";н/д
72;1;н/д;0;0;"=""4.5""";н/д
73;1;н/д;0;0;"=""2.7""";н/д
74;1;н/д;0;0;"=""4.8""";н/д
75;1;н/д;0;0;"=""4.8""";н/д
76;1;н/д;0;0;"=""4.9""";н/д
77;1;н/д;0;0;"=""6.2""";н/д
78;1;н/д;0;0;"=""4.6""";н/д
79;1;н/д;0;0;"=""4.9""";н/д
