Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;503;LAX;0;1376;5611.1;high
1;211;ATL;0;624;1507.5;high
2;363;11;0;914;18160.7;high
3;246;11;13;664;5322.7;high
4;37;PHOG;0;88;179.9;high
5;1;н/д;0;0;2.6;н/д
6;69;SEA;4;182;1085.8;high
7;175;SEA;0;521;1156.5;high
8;31;SBA;2;62;157.5;high
9;1;н/д;0;0;3.6;н/д
10;143;LAX;0;369;2876.1;high
11;12;10R;0;24;69.3;high
12;2;27R;1;7;7.1;high
13;7;10L;1;15;40.7;high
14;7;н/д;0;16;30.0;high
15;2;н/д;1;6;13.4;high
16;1;10L;0;0;4.3;н/д
17;1;н/д;0;0;6.1;н/д
18;4;10R;0;7;18.1;high
19;1;н/д;0;0;2.7;н/д
20;1;н/д;0;0;4.0;н/д
21;1;н/д;0;0;3.8;н/д
22;5;09R;1;12;28.2;high
23;1;н/д;0;0;4.8;н/д
24;1;12R;0;0;3.8;н/д
25;1;н/д;0;0;6.5;н/д
26;1;н/д;0;0;4.8;н/д
27;1;н/д;0;0;4.0;н/д
28;2;н/д;1;5;9.1;high
29;1;н/д;0;0;5.1;н/д
30;1;н/д;0;0;2.7;н/д
31;1;н/д;0;0;4.8;н/д
32;1;30L;0;0;3.9;н/д
33;1;30L;0;0;2.6;н/д
34;1;н/д;0;0;3.9;н/д
35;1;12R;0;0;2.8;н/д
36;1;13;0;0;3.9;н/д
37;1;н/д;0;0;4.6;н/д
38;1;н/д;0;0;4.8;н/д
39;1;н/д;0;0;6.4;н/д
40;1;н/д;0;0;2.9;н/д
41;1;н/д;0;0;4.3;н/д
42;1;н/д;0;0;4.7;н/д
43;1;н/д;0;0;6.2;н/д
44;1;н/д;0;0;3.7;н/д
45;1;10L;0;0;3.9;н/д
46;1;н/д;0;0;2.8;н/д
47;1;н/д;0;0;5.8;н/д
48;1;н/д;0;0;3.9;н/д
49;1;н/д;0;0;6.4;н/д
50;1;н/д;0;0;6.4;н/д
51;1;н/д;0;0;4.8;н/д
52;1;н/д;0;0;4.8;н/д
53;1;12R;0;0;4.8;н/д
54;1;н/д;0;0;6.4;н/д
55;1;н/д;0;0;4.8;н/д
56;1;н/д;0;0;6.5;н/д
57;1;н/д;0;0;2.9;н/д
58;1;н/д;0;0;6.4;н/д
59;17;13;0;28;56.8;high
60;1;н/д;0;0;5.0;н/д
61;1;н/д;0;0;2.9;н/д
62;1;12R;0;0;4.9;н/д
63;1;н/д;0;0;5.0;н/д
64;1;н/д;0;0;6.4;н/д
65;1;н/д;0;0;4.6;н/д
66;1;н/д;0;0;6.4;н/д
67;1;н/д;0;0;6.1;н/д
68;1;н/д;0;0;4.0;н/д
69;1;н/д;0;0;4.8;н/д
