Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;327;11;0;901;"=""6215.3""";high
1;173;ATL;0;501;"=""1130.2""";high
2;9;DEN;0;29;"=""36.9""";high
3;1;н/д;0;0;"=""2.6""";н/д
4;9;PDX;1;21;"=""55.3""";high
5;381;11;0;956;"=""21225.6""";high
6;524;LAX;0;1445;"=""6264.0""";high
7;41;PHNL;0;97;"=""212.0""";high
8;1;YUL;0;0;"=""5.7""";н/д
9;1;SEA;0;0;"=""6.3""";н/д
10;7;н/д;0;9;"=""18.2""";high
11;1;CYVR;0;0;"=""4.7""";н/д
12;1;BOI;0;0;"=""5.4""";н/д
13;4;PHKO;0;9;"=""13.7""";high
14;184;SEA;0;540;"=""1262.6""";high
15;37;SBA;0;81;"=""173.3""";high
16;18;MRY;1;31;"=""107.9""";high
17;115;LAX;0;287;"=""2901.1""";high
18;10;CDG;0;24;"=""76.5""";high
19;1;н/д;0;0;"=""2.7""";н/д
20;1;н/д;0;0;"=""4.0""";н/д
21;9;MSP;1;19;"=""41.9""";high
22;2;н/д;1;4;"=""10.3""";high
23;1;н/д;0;0;"=""3.8""";н/д
24;3;RDD;1;9;"=""24.5""";high
25;81;12R;0;240;"=""424.9""";high
26;2;н/д;1;3;"=""6.4""";high
27;4;DFW;0;12;"=""27.1""";high
28;2;н/д;1;4;"=""9.3""";high
29;1;30L;0;0;"=""2.6""";н/д
30;1;н/д;0;0;"=""4.8""";н/д
31;1;н/д;0;0;"=""6.5""";н/д
32;1;н/д;0;0;"=""4.8""";н/д
33;5;09R;1;13;"=""18.3""";high
34;1;н/д;0;0;"=""3.9""";н/д
35;1;н/д;0;0;"=""4.0""";н/д
36;1;13;0;0;"=""3.9""";н/д
37;1;н/д;0;0;"=""6.2""";н/д
38;1;30L;0;0;"=""5.6""";н/д
39;3;12;1;6;"=""13.4""";high
40;3;н/д;1;4;"=""5.3""";high
41;1;н/д;0;0;"=""3.7""";н/д
42;3;н/д;1;6;"=""11.6""";high
43;1;30L;0;0;"=""3.9""";н/д
44;1;13;0;0;"=""5.6""";н/д
45;1;н/д;0;0;"=""2.8""";н/д
46;2;н/д;1;4;"=""13.4""";high
47;1;н/д;0;0;"=""5.0""";н/д
48;1;н/д;0;0;"=""6.3""";н/д
49;1;н/д;0;0;"=""2.7""";н/д
50;1;н/д;0;0;"=""4.3""";н/д
51;1;н/д;0;0;"=""3.9""";н/д
52;1;н/д;0;0;"=""3.8""";н/д
53;1;н/д;0;0;"=""3.7""";н/д
54;1;н/д;0;0;"=""3.0""";н/д
55;1;н/д;0;0;"=""4.8""";н/д
