Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;503;LAX;0;1375;"=""5583.8""";high
1;191;ATL;0;566;"=""1388.4""";high
2;378;11;0;949;"=""20316.8""";high
3;64;PDX;0;164;"=""1029.6""";high
4;1;н/д;0;0;"=""2.5""";н/д
5;1;н/д;0;0;"=""2.6""";н/д
6;254;11;0;684;"=""5348.7""";high
7;35;PHNL;0;82;"=""163.4""";high
8;265;SEA;0;772;"=""3791.5""";high
9;3;SEA;1;9;"=""43.6""";high
10;1;12R;0;0;"=""2.8""";н/д
11;12;LAX;0;33;"=""68.6""";high
12;17;LAX;1;41;"=""72.1""";high
13;1;13;0;0;"=""5.6""";н/д
14;2;LAS;1;5;"=""15.2""";high
15;2;SBP;1;4;"=""13.5""";high
16;25;SBA;2;60;"=""174.6""";high
17;6;30L;0;9;"=""19.7""";high
18;4;10L;0;10;"=""30.1""";high
19;32;ORD;0;94;"=""173.4""";high
20;3;30L;1;5;"=""12.4""";high
21;1;н/д;0;0;"=""4.0""";н/д
22;1;н/д;0;0;"=""4.8""";н/д
23;1;н/д;0;0;"=""3.9""";н/д
24;1;н/д;0;0;"=""5.0""";н/д
25;1;н/д;0;0;"=""5.0""";н/д
26;1;н/д;0;0;"=""3.9""";н/д
27;1;н/д;0;0;"=""3.0""";н/д
28;1;н/д;0;0;"=""2.7""";н/д
29;1;н/д;0;0;"=""6.3""";н/д
30;1;н/д;0;0;"=""2.8""";н/д
31;1;30L;0;0;"=""5.6""";н/д
32;1;н/д;0;0;"=""4.6""";н/д
33;1;н/д;0;0;"=""3.9""";н/д
34;1;н/д;0;0;"=""4.9""";н/д
35;1;н/д;0;0;"=""6.5""";н/д
36;1;н/д;0;0;"=""6.4""";н/д
37;1;н/д;0;0;"=""4.0""";н/д
38;1;н/д;0;0;"=""4.0""";н/д
39;1;н/д;0;0;"=""4.1""";н/д
40;1;11;0;0;"=""6.8""";н/д
41;1;н/д;0;0;"=""2.9""";н/д
42;1;н/д;0;0;"=""4.9""";н/д
43;1;н/д;0;0;"=""4.8""";н/д
44;1;н/д;0;0;"=""2.9""";н/д
45;1;н/д;0;0;"=""2.7""";н/д
46;6;09R;0;17;"=""27.5""";high
47;25;MRY;0;50;"=""106.1""";high
48;16;13;0;27;"=""55.5""";high
49;1;12R;0;0;"=""3.8""";н/д
50;1;SNA;0;0;"=""8.1""";н/д
51;2;RDD;1;5;"=""13.8""";high
52;1;н/д;0;0;"=""3.9""";н/д
53;1;CMA;0;0;"=""8.0""";н/д
54;2;11;1;5;"=""11.5""";high
55;1;ONT;0;0;"=""9.3""";н/д
56;1;PSP;0;0;"=""8.0""";н/д
57;1;RNO;0;0;"=""8.2""";н/д
58;1;SAN;0;0;"=""8.0""";н/д
59;1;н/д;0;0;"=""3.9""";н/д
60;1;н/д;0;0;"=""2.7""";н/д
61;1;н/д;0;0;"=""2.9""";н/д
62;1;н/д;0;0;"=""7.8""";н/д
63;1;YYZ;0;0;"=""8.2""";н/д
64;1;LAX;0;0;"=""7.9""";н/д
65;1;н/д;0;0;"=""4.8""";н/д
66;1;н/д;0;0;"=""3.0""";н/д
67;1;н/д;0;0;"=""2.8""";н/д
68;1;SAN;0;0;"=""6.8""";н/д
69;1;н/д;0;0;"=""2.6""";н/д
70;1;н/д;0;0;"=""2.9""";н/д
71;1;BUR;0;0;"=""6.8""";н/д
72;1;н/д;0;0;"=""2.7""";н/д
73;1;н/д;0;0;"=""5.2""";н/д
74;1;BUR;0;0;"=""6.6""";н/д
75;1;н/д;0;0;"=""2.5""";н/д
76;1;н/д;0;0;"=""2.9""";н/д
77;1;SBA;0;0;"=""6.6""";н/д
78;1;н/д;0;0;"=""6.5""";н/д
79;1;н/д;0;0;"=""3.9""";н/д
80;1;н/д;0;0;"=""4.8""";н/д
81;1;PSP;0;0;"=""6.7""";н/д
82;1;н/д;0;0;"=""4.3""";н/д
83;1;SAN;0;0;"=""8.1""";н/д
84;1;н/д;0;0;"=""3.8""";н/д
85;1;н/д;0;0;"=""3.9""";н/д
86;1;н/д;0;0;"=""2.5""";н/д
87;1;н/д;0;0;"=""4.0""";н/д
88;3;н/д;1;6;"=""10.5""";high
89;1;н/д;0;0;"=""7.0""";н/д
90;1;н/д;0;0;"=""4.0""";н/д
91;1;н/д;0;0;"=""7.5""";н/д
92;1;н/д;0;0;"=""2.7""";н/д
93;1;LAX;0;0;"=""7.9""";н/д
94;1;н/д;0;0;"=""5.2""";н/д
95;1;н/д;0;0;"=""6.4""";н/д
96;1;SNA;0;0;"=""6.8""";н/д
97;1;н/д;0;0;"=""5.1""";н/д
98;1;LAX;0;0;"=""8.0""";н/д
99;1;TUS;0;0;"=""8.1""";н/д
100;5;ACV;0;14;"=""95.3""";high
101;1;н/д;0;0;"=""3.6""";н/д
102;1;н/д;0;0;"=""4.1""";н/д
103;1;н/д;0;0;"=""5.7""";н/д
104;1;н/д;0;0;"=""4.9""";н/д
105;1;10R;0;0;"=""6.7""";н/д
106;1;MRY;0;0;"=""6.2""";н/д
107;1;н/д;0;0;"=""4.7""";н/д
108;1;н/д;0;0;"=""6.4""";н/д
109;1;12R;0;0;"=""4.6""";н/д
110;2;10R;1;4;"=""10.4""";high
111;2;н/д;1;5;"=""10.5""";high
112;1;н/д;0;0;"=""4.6""";н/д
113;1;н/д;0;0;"=""2.7""";н/д
114;1;н/д;0;0;"=""7.9""";н/д
115;1;н/д;0;0;"=""6.7""";н/д
116;1;н/д;0;0;"=""2.7""";н/д
117;1;12R;0;0;"=""4.9""";н/д
118;1;MMMX;0;0;"=""6.6""";н/д
119;1;н/д;0;0;"=""4.8""";н/д
120;3;11;1;9;"=""17.7""";high
121;1;н/д;0;0;"=""4.7""";н/д
122;1;12R;0;0;"=""4.8""";н/д
123;1;н/д;0;0;"=""6.4""";н/д
124;1;н/д;0;0;"=""4.8""";н/д
125;1;LAX;0;0;"=""13.1""";н/д
126;1;н/д;0;0;"=""4.7""";н/д
127;1;SAT;0;0;"=""8.0""";н/д
128;1;н/д;0;0;"=""4.8""";н/д
129;1;н/д;0;0;"=""6.4""";н/д
130;1;н/д;0;0;"=""3.5""";н/д
131;1;н/д;0;0;"=""6.4""";н/д
132;1;MSLP;0;0;"=""10.8""";н/д
133;1;н/д;0;0;"=""3.8""";н/д
134;1;SBA;0;0;"=""10.8""";н/д
135;11;09R;1;27;"=""36.7""";high
136;1;LAX;0;0;"=""8.5""";н/д
137;1;н/д;0;0;"=""5.8""";н/д
138;1;BUR;0;0;"=""6.7""";н/д
139;1;н/д;0;0;"=""4.7""";н/д
