Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;330;11;0;910;"=""6138.4""";high
1;376;11;0;948;"=""20886.5""";high
2;530;LAX;0;1456;"=""6459.8""";high
3;327;SEA;0;995;"=""2720.9""";high
4;118;LAX;0;284;"=""2624.9""";high
5;2;MSP;1;6;"=""11.6""";high
6;4;SJC;0;12;"=""19.7""";high
7;25;09L;0;52;"=""134.5""";high
8;2;30L;1;2;"=""10.2""";high
9;1;н/д;0;0;"=""2.6""";н/д
10;24;SEA;0;67;"=""345.2""";high
11;3;10R;1;8;"=""20.8""";high
12;38;11;0;100;"=""184.7""";high
13;1;30L;0;0;"=""2.6""";н/д
14;1;н/д;0;0;"=""3.9""";н/д
15;1;н/д;0;0;"=""4.8""";н/д
16;1;13;0;0;"=""5.6""";н/д
17;1;30L;0;0;"=""3.2""";н/д
18;1;30L;0;0;"=""5.6""";н/д
19;1;н/д;0;0;"=""3.8""";н/д
20;1;н/д;0;0;"=""5.8""";н/д
21;1;н/д;0;0;"=""6.4""";н/д
22;1;н/д;0;0;"=""3.9""";н/д
23;2;н/д;1;4;"=""8.3""";high
24;1;н/д;0;0;"=""6.5""";н/д
25;1;н/д;0;0;"=""6.5""";н/д
26;1;н/д;0;0;"=""2.7""";н/д
27;1;12;0;0;"=""5.3""";н/д
28;2;CDG;1;6;"=""18.9""";high
29;1;н/д;0;0;"=""6.2""";н/д
30;1;13;0;0;"=""3.9""";н/д
31;1;10L;0;0;"=""4.3""";н/д
32;1;н/д;0;0;"=""3.7""";н/д
33;4;28L;0;5;"=""11.5""";high
34;1;12;0;0;"=""4.0""";н/д
35;1;н/д;0;0;"=""6.2""";н/д
36;1;12R;0;0;"=""4.8""";н/д
37;1;н/д;0;0;"=""5.0""";н/д
38;2;н/д;1;4;"=""7.9""";high
39;1;RNO;0;0;"=""8.1""";н/д
40;10;н/д;0;27;"=""31.8""";high
41;2;н/д;1;4;"=""6.3""";high
42;39;PHNL;2;84;"=""160.8""";high
43;1;н/д;0;0;"=""6.1""";н/д
44;1;11;0;0;"=""6.3""";н/д
45;1;н/д;0;0;"=""4.0""";н/д
46;1;н/д;0;0;"=""6.6""";н/д
47;1;н/д;0;0;"=""4.3""";н/д
48;1;н/д;0;0;"=""6.2""";н/д
49;2;MOD;1;4;"=""9.9""";high
50;1;н/д;0;0;"=""6.1""";н/д
51;1;н/д;0;0;"=""4.0""";н/д
52;1;н/д;0;0;"=""3.6""";н/д
53;1;н/д;0;0;"=""2.7""";н/д
54;1;н/д;0;0;"=""6.4""";н/д
55;1;12R;0;0;"=""4.8""";н/д
56;1;н/д;0;0;"=""4.8""";н/д
57;2;09L;1;5;"=""15.7""";high
58;1;н/д;0;0;"=""3.9""";н/д
59;1;12L;0;0;"=""4.7""";н/д
60;1;н/д;0;0;"=""4.6""";н/д
61;1;н/д;0;0;"=""4.8""";н/д
62;1;н/д;0;0;"=""4.2""";н/д
63;1;н/д;0;0;"=""5.0""";н/д
64;1;н/д;0;0;"=""6.4""";н/д
65;1;MIA;0;0;"=""11.9""";н/д
66;1;н/д;0;0;"=""2.9""";н/д
67;1;н/д;0;0;"=""2.8""";н/д
68;1;н/д;0;0;"=""5.0""";н/д
69;1;н/д;0;0;"=""6.5""";н/д
70;6;MRY;0;16;"=""26.4""";high
71;1;н/д;0;0;"=""4.8""";н/д
72;1;н/д;0;0;"=""4.0""";н/д
73;1;н/д;0;0;"=""6.3""";н/д
74;1;н/д;0;0;"=""2.9""";н/д
75;1;н/д;0;0;"=""3.9""";н/д
76;1;н/д;0;0;"=""4.7""";н/д
77;2;OAK;1;6;"=""10.3""";high
78;8;12L;0;12;"=""14.9""";high
79;1;н/д;0;0;"=""2.9""";н/д
80;1;н/д;0;0;"=""4.8""";н/д
81;1;н/д;0;0;"=""2.5""";н/д
82;1;н/д;0;0;"=""4.2""";н/д
83;1;н/д;0;0;"=""6.5""";н/д
84;1;12R;0;0;"=""4.8""";н/д
85;1;н/д;0;0;"=""4.8""";н/д
86;1;н/д;0;0;"=""3.6""";н/д
87;1;н/д;0;0;"=""3.6""";н/д
88;1;н/д;0;0;"=""3.8""";н/д
89;1;н/д;0;0;"=""4.1""";н/д
90;17;SMF;0;33;"=""47.1""";high
91;1;н/д;0;0;"=""6.4""";н/д
92;5;09L;1;8;"=""25.3""";high
93;1;н/д;0;0;"=""2.9""";н/д
